Time [year],C [mol/yr],d13C [permil]
0,3.05E+12,-28
1800.913242,3.05E+12,-28
1818.26484,1.52E+12,-28
1837.442922,1.52E+12,-28
1854.794521,3.05E+12,-28
1873.059361,7.62E+12,-28
1891.324201,1.68E+13,-28
1904.634382,3.15E+13,-28
1916.684889,5.00E+13,-28
1926.940639,7.01E+13,-28
1936.073059,9.15E+13,-28
1945.205479,1.19E+14,-28
1950.684932,1.48E+14,-28
1957.077626,1.94E+14,-28
1963.47032,2.26E+14,-28
1968.949772,2.58E+14,-28
1975.222415,2.99E+14,-28
1982.811328,3.38E+14,-28
1989.534161,3.85E+14,-28
1996.256994,4.34E+14,-28
2002.979827,4.83E+14,-28
2008.550175,5.26E+14,-28
2013.544279,5.67E+14,-28
2018.538384,6.09E+14,-28
2023.916651,6.50E+14,-28
2028.142431,6.92E+14,-28
2033.712779,7.36E+14,-28
2039.475207,7.84E+14,-28
2045.237636,8.32E+14,-28
2050.807983,8.76E+14,-28
2055.033764,9.17E+14,-28
2060.604112,9.60E+14,-28
2066.36654,1.01E+15,-28
2072.128969,1.05E+15,-28
2078.5774,1.10E+15,-28
2084.61423,1.14E+15,-28
2088.550175,1.18E+15,-28
2094.312603,1.22E+15,-28
2100.075032,1.25E+15,-28
2105.517325,1.29E+15,-28
2114.386777,1.33E+15,-28
2123.03042,1.37E+15,-28
2133.594872,1.41E+15,-28
2148.961348,1.45E+15,-28
2169.129848,1.47E+15,-28
2186.417133,1.44E+15,-28
2197.94199,1.40E+15,-28
2208.091982,1.35E+15,-28
2215.13495,1.31E+15,-28
2220.897378,1.27E+15,-28
2224.833323,1.23E+15,-28
2231.653911,1.19E+15,-28
2235.397775,1.15E+15,-28
2241.160203,1.11E+15,-28
2246.922632,1.06E+15,-28
2252.492979,1.01E+15,-28
2256.71876,9.70E+14,-28
2262.289108,9.24E+14,-28
2268.051536,8.72E+14,-28
2273.813964,8.22E+14,-28
2279.384312,7.75E+14,-28
2283.418012,7.38E+14,-28
2287.259631,7.04E+14,-28
2291.293331,6.67E+14,-28
2296.863678,6.24E+14,-28
2302.626107,5.78E+14,-28
2308.388535,5.31E+14,-28
2314.836967,4.86E+14,-28
2320.873797,4.41E+14,-28
2328.462709,4.02E+14,-28
2332.398654,3.65E+14,-28
2338.161082,3.30E+14,-28
2344.197912,2.95E+14,-28
2352.567153,2.58E+14,-28
2363.131605,2.13E+14,-28
2372.735653,1.76E+14,-28
2383.300105,1.42E+14,-28
2396.745771,1.05E+14,-28
2414.993462,6.79E+13,-28
2436.122366,3.98E+13,-28
2457.25127,2.18E+13,-28
2478.380175,1.19E+13,-28
2499.509079,7.84E+12,-28
2520.637983,2.89E+12,-28
2536.073059,3.05E+12,-28
2559.054173,1.13E+12,-28
2581.250194,5.97E+11,-28
2601.311981,6.94E+11,-28
2622.440886,1.13E+12,-28
2643.56979,1.13E+12,-28
2664.698694,1.13E+12,-28
2685.827599,1.13E+12,-28
2706.956503,1.13E+12,-28
2728.085407,1.13E+12,-28
2749.214312,1.13E+12,-28
2770.343216,1.13E+12,-28
2788.590906,1.13E+12,-28
