M.H_b.DIC Time [a],M.H_b.DIC DIC [mol/kg]
0.0,0.0021743748935226
10000.0,0.0021743748935226697
20000.0,0.0021743748935226757
30000.0,0.002174374893522677
40000.0,0.0021743748935226775
50000.0,0.0021743748935226775
60000.0,0.0021743748935226775
70000.0,0.0021743748935226775
80000.0,0.002174374893522677
90000.0,0.002174374893522677
100000.0,0.002174374893522677
110000.0,0.002174374893522677
120000.0,0.002174374893522677
130000.0,0.0021743748935226775
140000.0,0.0021743748935226775
150000.0,0.0021743748935226775
160000.0,0.002174374893522677
170000.0,0.002174374893522677
180000.0,0.0021743748935226775
190000.0,0.0021743748935226775
200000.0,0.0021743748935226775
210000.0,0.0021743748935226775
220000.0,0.002174374893522677
230000.0,0.002174374893522677
240000.0,0.002174374893522677
250000.0,0.0021743748935226775
260000.0,0.0021743748935226775
270000.0,0.002174374893522677
280000.0,0.002174374893522677
290000.0,0.0021743748935226775
300000.0,0.0021743748935226775
310000.0,0.002174374893522677
320000.0,0.002174374893522677
330000.0,0.0021743748935226775
340000.0,0.002174374893522677
350000.0,0.002174374893522677
360000.0,0.002174374893522677
370000.0,0.002174374893522677
380000.0,0.002174374893522677
390000.0,0.002174374893522677
400000.0,0.0021743748935226775
410000.0,0.0021743748935226775
420000.0,0.002174374893522677
430000.0,0.0021743748935226775
440000.0,0.002174374893522677
450000.0,0.0021743748935226775
460000.0,0.002174374893522677
470000.0,0.002174374893522677
480000.0,0.002174374893522677
490000.0,0.002174374893522677
500000.0,0.0021743748935226775
510000.0,0.002174374893522677
520000.0,0.002174374893522677
530000.0,0.002174374893522677
540000.0,0.0021743748935226775
550000.0,0.0021743748935226775
560000.0,0.002174374893522677
570000.0,0.002174374893522677
580000.0,0.002174374893522677
590000.0,0.0021743748935226775
600000.0,0.0021743748935226775
610000.0,0.002174374893522677
620000.0,0.002174374893522677
630000.0,0.002174374893522677
640000.0,0.002174374893522677
650000.0,0.0021743748935226775
660000.0,0.002174374893522677
670000.0,0.002174374893522677
680000.0,0.0021743748935226775
690000.0,0.0021743748935226775
700000.0,0.002174374893522677
710000.0,0.0021743748935226775
720000.0,0.0021743748935226775
730000.0,0.0021743748935226775
740000.0,0.0021743748935226775
750000.0,0.0021743748935226775
760000.0,0.002174374893522677
770000.0,0.002174374893522677
780000.0,0.002174374893522677
790000.0,0.002174374893522677
800000.0,0.002174374893522677
810000.0,0.0021743748935226775
820000.0,0.0021743748935226775
830000.0,0.0021743748935226775
840000.0,0.0021743748935226775
850000.0,0.0021743748935226775
860000.0,0.002174374893522677
870000.0,0.0021743748935226775
880000.0,0.002174374893522677
890000.0,0.002174374893522677
900000.0,0.002174374893522677
910000.0,0.002174374893522677
920000.0,0.0021743748935226775
930000.0,0.002174374893522677
940000.0,0.0021743748935226775
950000.0,0.0021743748935226775
960000.0,0.0021743748935226775
970000.0,0.002174374893522677
980000.0,0.0021743748935226775
990000.0,0.0021743748935226775
