M.L_b.CO2aq Time [a],M.L_b.CO2aq CO2aq [mol/kg]
0.0,8.879759857156777e-06
10000.0,8.879759857156909e-06
20000.0,8.879759857156784e-06
30000.0,8.87975985715675e-06
40000.0,8.879759857156763e-06
50000.0,8.879759857156765e-06
60000.0,8.879759857156763e-06
70000.0,8.879759857156767e-06
80000.0,8.879759857156767e-06
90000.0,8.879759857156767e-06
100000.0,8.879759857156765e-06
110000.0,8.879759857156768e-06
120000.0,8.879759857156767e-06
130000.0,8.879759857156767e-06
140000.0,8.879759857156768e-06
150000.0,8.879759857156763e-06
160000.0,8.879759857156763e-06
170000.0,8.879759857156767e-06
180000.0,8.879759857156763e-06
190000.0,8.87975985715676e-06
200000.0,8.879759857156765e-06
210000.0,8.879759857156765e-06
220000.0,8.879759857156765e-06
230000.0,8.879759857156768e-06
240000.0,8.879759857156767e-06
250000.0,8.879759857156767e-06
260000.0,8.879759857156765e-06
270000.0,8.879759857156763e-06
280000.0,8.879759857156767e-06
290000.0,8.879759857156763e-06
300000.0,8.879759857156767e-06
310000.0,8.879759857156768e-06
320000.0,8.879759857156765e-06
330000.0,8.879759857156767e-06
340000.0,8.879759857156765e-06
350000.0,8.879759857156763e-06
360000.0,8.879759857156765e-06
370000.0,8.879759857156765e-06
380000.0,8.879759857156765e-06
390000.0,8.879759857156765e-06
400000.0,8.879759857156765e-06
410000.0,8.879759857156767e-06
420000.0,8.879759857156765e-06
430000.0,8.879759857156768e-06
440000.0,8.879759857156765e-06
450000.0,8.879759857156767e-06
460000.0,8.879759857156767e-06
470000.0,8.879759857156767e-06
480000.0,8.879759857156765e-06
490000.0,8.879759857156768e-06
500000.0,8.879759857156763e-06
510000.0,8.879759857156763e-06
520000.0,8.879759857156767e-06
530000.0,8.879759857156765e-06
540000.0,8.879759857156765e-06
550000.0,8.879759857156765e-06
560000.0,8.879759857156763e-06
570000.0,8.879759857156765e-06
580000.0,8.879759857156765e-06
590000.0,8.879759857156768e-06
600000.0,8.879759857156765e-06
610000.0,8.879759857156763e-06
620000.0,8.879759857156767e-06
630000.0,8.879759857156763e-06
640000.0,8.879759857156763e-06
650000.0,8.879759857156767e-06
660000.0,8.879759857156765e-06
670000.0,8.879759857156768e-06
680000.0,8.879759857156765e-06
690000.0,8.879759857156767e-06
700000.0,8.879759857156765e-06
710000.0,8.879759857156763e-06
720000.0,8.879759857156763e-06
730000.0,8.879759857156767e-06
740000.0,8.879759857156767e-06
750000.0,8.879759857156767e-06
760000.0,8.879759857156767e-06
770000.0,8.879759857156767e-06
780000.0,8.879759857156765e-06
790000.0,8.879759857156763e-06
800000.0,8.879759857156763e-06
810000.0,8.879759857156767e-06
820000.0,8.879759857156767e-06
830000.0,8.879759857156767e-06
840000.0,8.879759857156767e-06
850000.0,8.879759857156767e-06
860000.0,8.879759857156768e-06
870000.0,8.879759857156767e-06
880000.0,8.879759857156763e-06
890000.0,8.879759857156767e-06
900000.0,8.879759857156765e-06
910000.0,8.879759857156767e-06
920000.0,8.879759857156763e-06
930000.0,8.879759857156762e-06
940000.0,8.879759857156763e-06
950000.0,8.879759857156768e-06
960000.0,8.879759857156765e-06
970000.0,8.879759857156767e-06
980000.0,8.879759857156768e-06
990000.0,8.879759857156767e-06
