Time [year],Input to Atmosphere [mol/yr],Input to Atmosphere [mol/yr]
0,3049783692870.0,3050000000000
1800.913242,3049783692870.0,3050000000000
1818.26484,1524891804810.0,1520000000000
1837.442922,1524891804810.0,1520000000000
1854.794521,3049783692870.0,3050000000000
1873.059361,7624459190560.0,7620000000000
1891.324201,16773810102700.0,16800000000000
1904.634382,31524453945200.0,31500000000000
1916.684889,50042224849500.0,50000000000000
1926.940639,70145024186800.0,70100000000000
1936.073059,91493509870400.0,91500000000000
1945.205479,118941562856000.0,119000000000000
1950.684932,147914507647000.0,148000000000000
1957.077626,193661262541000.0,194000000000000
1963.47032,225683991025000.0,226000000000000
1968.949772,257706719425000.0,258000000000000
1975.222415,298671184527000.0,299000000000000
1982.811328,337563801194000.0,338000000000000
1989.534161,384602060746000.0,385000000000000
1996.256994,433660145787000.0,434000000000000
2002.979827,482918686005000.0,483000000000000
2008.550175,525522111534000.0,526000000000000
2013.544279,567068321080000.0,567000000000000
2018.538384,608590772977000.0,609000000000000
2023.916651,649644011090000.0,650000000000000
2028.142431,691659434421000.0,692000000000000
2033.712779,735599228355000.0,736000000000000
2039.475207,784243039123000.0,784000000000000
2045.237636,831817755168000.0,832000000000000
2050.807983,876399005886000.0,876000000000000
2055.033764,916810787048000.0,917000000000000
2060.604112,960109124364000.0,960000000000000
2066.36654,1007149292710000.0,1010000000000000
2072.128969,1052585819310000.0,1050000000000000
2078.5774,1099625988490000.0,1100000000000000
2084.61423,1143726145850000.0,1140000000000000
2088.550175,1183282651300000.0,1180000000000000
2094.312603,1219631873250000.0,1220000000000000
2100.075032,1254377451770000.0,1250000000000000
2105.517325,1289924852010000.0,1290000000000000
2114.386777,1331753184240000.0,1330000000000000
2123.03042,1370641505490000.0,1370000000000000
2133.594872,1411534379350000.0,1410000000000000
2148.961348,1448578511660000.0,1450000000000000
2169.129848,1467352709670000.0,1470000000000000
2186.417133,1436390831510000.0,1440000000000000
2197.94199,1395337593980000.0,1400000000000000
2208.091982,1347299603690000.0,1350000000000000
2215.13495,1309545604340000.0,1310000000000000
2220.897378,1270681146810000.0,1270000000000000
2224.833323,1231926462240000.0,1230000000000000
2231.653911,1192957959150000.0,1190000000000000
2235.397775,1152278903810000.0,1150000000000000
2241.160203,1106307830520000.0,1110000000000000
2246.922632,1058198567110000.0,1060000000000000
2252.492979,1013670771060000.0,1010000000000000
2256.71876,970372433747000.0,970000000000000
2262.289108,923492629072000.0,924000000000000
2268.051536,872176081327000.0,872000000000000
2273.813964,821661355125000.0,822000000000000
2279.384312,775369552732000.0,775000000000000
2283.418012,737603780962000.0,738000000000000
2287.259631,703927296577000.0,704000000000000
2291.293331,667284074284000.0,667000000000000
2296.863678,624146101476000.0,624000000000000
2302.626107,577640480155000.0,578000000000000
2308.388535,531134858917000.0,531000000000000
2314.836967,485660150366000.0,486000000000000
2320.873797,440796353168000.0,441000000000000
2328.462709,402041668762000.0,402000000000000
2332.398654,365157900122000.0,365000000000000
2338.161082,330145047333000.0,330000000000000
2344.197912,295284922361000.0,295000000000000
2352.567153,258248425904000.0,258000000000000
2363.131605,212811899390000.0,213000000000000
2372.735653,176248859184000.0,176000000000000
2383.300105,141984372684000.0,142000000000000
2396.745771,104966967288000.0,105000000000000
2414.993462,67900966554800.0,67900000000000
2436.122366,39764336799700.0,39800000000000
2457.25127,21832702257200.0,21800000000000
2478.380175,11919278310200.0,11900000000000
2499.509079,7837280175180.0,7840000000000
2520.637983,2892283130870.0,2890000000000
2536.073059,3049783692870.0,3050000000000
2559.054173,1131140399810.0,1130000000000
2581.250194,596593037875.0,597000000000
2601.311981,693783459748.0,694000000000
2622.440886,1131140399810.0,1130000000000
2643.56979,1131140399810.0,1130000000000
2664.698694,1131140399810.0,1130000000000
2685.827599,1131140399810.0,1130000000000
2706.956503,1131140399810.0,1130000000000
2728.085407,1131140399810.0,1130000000000
2749.214312,1131140399810.0,1130000000000
2770.343216,1131140399810.0,1130000000000
2788.590906,1131140399810.0,1130000000000
