Time [yrs],C [mol/yr],d13C [permil],Gt [C/yr]
0,0,-28,0
1790,0,-28,0
1796,5546341666666.67,-28,0.0665561
1839.87,-220384166666.667,-28,-0.00264461
1879.79,29963083333333.3,-28,0.359557
1919.72,60146583333333.3,-28,0.721759
1949.69,93149166666666.7,-28,1.11779
1973.26,250568333333333,-28,3.00682
2011.97,504643333333333,-28,6.05572
2025.48,615130000000000,-28,7.38156
2059.3,916216666666667,-28,10.9946
2084.64,1.12E+15,-28,13.4806
2101.44,1.22E+15,-28,14.6404
2126.64,1.36E+15,-28,16.3634
2145.05,1.43E+15,-28,17.1914
2171.69,1462875000000000,-28,17.5545
2188.25,1.44E+15,-28,17.2217
2213.02,1.36E+15,-28,16.3577
2229.41,1249725000000000,-28,14.9967
2244.02,1.08E+15,-28,12.9725
2262.1,986966666666667,-28,11.8436
2275.1,840400000000000,-28,10.0848
2289.76,696589166666667,-28,8.35907
2320.96,513991666666667,-28,6.1679
2338.95,370163333333333,-28,4.44196
2358.64,248437500000000,-28,2.98125
2385,140495000000000,-28,1.68594
2418.08,68447750000000,-28,0.821373
2464.5,23966833333333.3,-28,0.287602
2505.99,7153308333333.33,-28,0.0858397
2589.05,6694175000000,-28,0.0803301
2796.69,5546341666666.67,-28,0.0665561
4000,0,-28,
