time [yr],ph [dimensionless],empty [dimensionless]
0,8.22,
1838.539854,8.211226436,
1916.940045,8.203977021,
1973.95362,8.158049601,
2006.080317,8.097306992,
2074.047888,7.917808603,
2032.522624,8.034249685,
2055.005656,7.971668768,
2093.580317,7.868660782,
2113.998869,7.816403531,
2139.847285,7.757115501,
2169.909502,7.690525431,
2198.812217,7.636738125,
2246.040724,7.578562421,
2317.307692,7.538904811,
2404.411765,7.550957239,
2491.515837,7.580350797,
2578.61991,7.609948157,
2659.695761,7.636342854,
2752.828054,7.663303909,
2839.932127,7.685987237,
2927.036199,7.706102641,
3014.140271,7.72365012,
3101.244344,7.739485651,
3188.348416,7.753181245,
3275.452489,7.765592877,
3362.556561,7.77629256,
3449.660633,7.785708281,
3536.764706,7.794268027,
3623.868778,7.801115824,
3710.972851,7.807963621,
3779.553167,7.813282892,
