Time [yrs],Dissolution Flow [10E13 mol/yr],Empty [dimensionless]
0,1.679962013,
1817.333878,1.679962013,
1863.085512,1.679695613,
1908.70098,1.671291671,
1949.371488,1.682384023,
1987.313907,1.685524352,
2030.841503,1.677322677,
2072.780501,1.643134643,
2114.719499,1.555074555,
2158.183551,1.422086555,
2198.597495,1.243238243,
2240.536492,1.047434047,
2282.47549,0.85991786,
2324.414488,0.712805713,
2366.353486,0.608169608,
2408.292484,0.538757539,
2450.231481,0.491101491,
2534.109477,0.446553447,
2576.048475,0.453805454,
2617.987473,0.474525475,
2659.926471,0.480741481,
2701.865468,0.47038147,
2743.804466,0.453805454,
2785.743464,0.447589448,
2827.682462,0.433085433,
2869.62146,0.431013431,
2911.560458,0.41961742,
2953.499455,0.415473415,
2995.438453,0.397446997,
3037.377451,0.403041403,
3079.316449,0.398897399,
3121.255447,0.396825397,
3163.194444,0.396825397,
3205.133442,0.393717394,
3247.07244,0.395789396,
3289.011438,0.396825397,
3330.950436,0.396825397,
3372.889434,0.396825397,
3414.828431,0.396825397,
3456.767429,0.396825397,
3499.024147,0.407570208,
3540.645425,0.396825397,
3582.584423,0.396825397,
3624.52342,0.396825397,
3666.462418,0.394753395,
3708.401416,0.395789396,
3750.340414,0.396825397,
3791.586205,0.393939394,
2490.808824,0.472527473,
