time [yr],hplus [mol/kg],empty [permil]
0,1.23E-08,
1881.78733,1.24E-08,
1968.891403,1.25E-08,
2043.715193,1.28E-08,
2109.587104,1.35E-08,
2165.158371,1.45E-08,
2218.608597,1.58E-08,
2273.755656,1.72E-08,
2336.679864,1.89E-08,
2392.911011,2.04E-08,
2464.423077,2.21E-08,
2540.441176,2.39E-08,
2625.565611,2.55E-08,
2705.316742,2.67E-08,
2792.420814,2.78E-08,
2879.524887,2.87E-08,
2966.628959,2.94E-08,
3053.733032,2.99E-08,
3140.837104,3.03E-08,
3227.941176,3.06E-08,
3315.045249,3.08E-08,
3402.149321,3.09E-08,
3489.253394,3.09E-08,
3576.357466,3.09E-08,
3663.461538,3.09E-08,
3750.565611,3.09E-08,
