Time [yr],pCO2 [ppm],Empty [dimensionless]
0,280,
1820.37037,281.0126582,
1883.333333,298.7341772,
1931.481481,316.4556962,
1981.481481,344.3037975,
2005.555556,384.8101266,
2024.074074,422.7848101,
2037.037037,463.2911392,
2051.851852,515.1898734,
2066.666667,567.0886076,
2077.777778,618.9873418,
2090.740741,672.1518987,
2105.555556,736.7088608,
2116.666667,791.1392405,
2127.777778,845.5696203,
2142.689708,909.5421561,
2156.900885,970.7438092,
2166.633343,1031.08262,
2180.776921,1101.695356,
2194.639627,1168.189776,
2206.322003,1228.381764,
2218.156717,1282.190622,
2233.647529,1347.190725,
2250.242788,1407.812958,
2275.973898,1472.647214,
2319.258307,1519.973621,
2384.675807,1499.992407,
2426.408328,1459.620579,
2457.215887,1419.425386,
2493.44473,1378.510299,
2538.231934,1327.591032,
2583.019137,1281.045199,
2622.541179,1243.744102,
2667.204608,1205.208638,
2720.579834,1160.682047,
2787.76064,1112.355602,
2858.140531,1068.422469,
2928.520423,1029.657941,
2998.900314,995.6644312,
3069.280206,966.8395254,
3139.660097,940.2013365,
3210.039989,918.3341666,
3280.41988,898.2561287,
3350.799771,880.5636003,
3421.179663,865.2565813,
3491.559554,851.7386944,
3561.939446,839.8111472,
3632.319337,829.0763546,
3702.699229,819.3355244,
3763.481862,812.5020338,
